ID,Type,Entry Price,Exit Price,Entry Time,Exit Time,Size,P&L,P&L %,Duration (hours),Stop Loss,Take Profit,Exit Reason
trade_1,LONG,4276.5071849999995,4152.078571428571,2025-08-18T11:00:00.000Z,2025-08-19T16:00:00.000Z,0.2338356880370821,-30.06675461550917,-3.006675461550917,29.00,4152.078571428571,4518.952857142857,SL
trade_2,LONG,4144.5212249999995,4354.124285714285,2025-08-19T16:00:00.000Z,2025-08-20T17:00:00.000Z,0.26466104647309396,54.32139830267524,4.952295459135245,25.00,4036.612857142857,4354.124285714285,TP
trade_3,LONG,4251.694785,4406.949999999999,2025-08-21T12:00:00.000Z,2025-08-22T14:00:00.000Z,0.28504047650967684,42.997861336257785,3.5479561122823933,26.00,4170.88,4406.949999999999,TP
trade_4,LONG,4707.282465,4896.990000000001,2025-08-23T11:00:00.000Z,2025-08-24T17:00:00.000Z,0.28408624802208365,52.50213432396659,3.926055986104936,30.00,4608.900000000001,4896.990000000001,TP
trade_5,LONG,4593.65568,4438.825714285714,2025-08-25T07:00:00.000Z,2025-08-25T19:00:00.000Z,0.32133843371978754,-51.179183978100795,-3.4671469200880947,12.00,4438.825714285714,4896.428571428571,SL
trade_6,LONG,4422.55017,4282.181428571429,2025-08-25T19:00:00.000Z,2025-08-29T14:00:00.000Z,0.3659572737362954,-52.936057372239176,-3.270758211820192,91.00,4282.181428571429,4696.657142857143,SL
trade_7,SHORT,4374.161825,4446.125714285715,2025-08-30T15:00:00.000Z,2025-08-31T00:00:00.000Z,0.4057589687631567,-31.004048889577497,-1.7468492949503625,9.00,4446.125714285715,4236.798571428572,SL
trade_8,SHORT,4349.50416,4419.061428571429,2025-09-03T09:00:00.000Z,2025-09-03T13:00:00.000Z,0.4481115475053586,-33.149647715067154,-1.7007991550006967,4.00,4419.061428571429,4216.9171428571435,SL
trade_9,LONG,4394.196,4332.67,2025-09-04T04:00:00.000Z,2025-09-04T14:00:00.000Z,0.4871106052039887,-32.08045660162969,-1.4987649617814005,10.00,4332.67,4510.66,SL
trade_10,LONG,4343.85084,4268.71,2025-09-04T14:00:00.000Z,2025-09-04T19:00:00.000Z,0.5412440286812388,-42.97994475776428,-1.8280910861110513,5.00,4268.71,4487.620000000001,SL
