Metric,Simplified Trend-Follower,Simplified SMC,Simplified Trend-Follower,Simplified SMC
Total Return %,217044666700.67% 🏆,12999.00%,217044666700.67% 🏆,12999.00%
Final Balance,$21,704,466,680,066.74 🏆,$1,309,899.978,$21,704,466,680,066.74 🏆,$1,309,899.978
Sharpe Ratio,19.41 🏆,10.21,19.41 🏆,10.21
Sortino Ratio,4313.30 🏆,930.53,4313.30 🏆,930.53
Max Drawdown %,0.32%,0.21% 🏆,0.32%,0.21% 🏆
Profit Factor,1.62,2.61 🏆,1.62,2.61 🏆
Win Rate %,29.2%,41.2% 🏆,29.2%,41.2% 🏆
Total Trades,226 🏆,51,226 🏆,51
Calmar Ratio,1393356912209.30 🏆,124753.13,1393356912209.30 🏆,124753.13
Recovery Factor,317.21,764.16 🏆,317.21,764.16 🏆
Volatility,253.61% 🏆,103.47%,253.61% 🏆,103.47%
Avg Trade Duration (hours),18.1 🏆,17.1,18.1 🏆,17.1
